Date,Month,MRP,ActualPrice,Discount%
22/06/2022,June,42.5,34,20%
23/06/2022,June,42.5,34,20%
24/06/2022,June,43.75,35,20%
25/06/2022,June,41.25,33,20%
26/06/2022,June,41.25,33,20%
27/06/2022,June,43.13,34.5,20%
28/06/2022,June,45,35,22%
29/06/2022,June,43.75,35,20%
30/06/2022,June,43.13,34.5,20%
01/07/2022,July,43.12,34.5,20%
02/07/2022,July,45.63,36.5,20%
03/07/2022,July,45.62,35,23%
04/07/2022,July,43.13,33,23%
05/07/2022,July,44.19,34,23%
06/07/2022,July,,,
07/07/2022,July,,,
08/07/2022,July,,,
09/07/2022,July,44.19,34,23%
10/07/2022,July,44.19,34,23%
11-07-2022,July,46.71,34,27%
12-07-2022,July,48.75,39,20%
13-07-2022,July,48.75,37,24%
14-07-2022,July,46.25,37,20%
15-07-2022,July,48.75,39,20%
16-07-2022,July,46.25,37,20%
17-07-2022,July,46.25,37,20%
18-07-2022,July,46.25,37,20%
19-07-2022,July,48.75,39,20%
20-07-2022,July,45,36,20%
21-07-2022,July,43.75,35,20%
22-07-2022,July,48.75,36,26%
23-07-2022,July,48.12,36,25%
24-07-2022,July,47.05,37,21%
25-07-2022,July,48.23,37,23%
26-07-2022,July,46.80,37,21%
27-07-2022,July,47.03,37.62,20%
28-07-2022,July,47.23,37.78,20%
29-07-2022,July,47.07,37.66,20%
30-07-2022,July,47.03,37.62,20%
31-07-2022,July,46.37,37,20%
01-08-2022,August,47.45,37.96,20%
02-08-2022,August,42.17,33.74,20%
03-08-2022,August,42.17,33.74,20%
04-08-2022,August,48.12,38.50,20%
05-08-2022,August,47.25,37.80,20%
06-08-2022,August,47.25,37.80,20%
07-08-2022,August,47.25,37.80,20%
08-08-2022,August,47.25,37.80,20%
09-08-2022,August,47.25,37.80,20%
10-08-2022,August,48.85,39,20%
11-08-2022,August,48.85,39.08,20%
12-08-2022,August,47.50,38,20%
13-08-2022,August,46.25,37,20%
14-08-2022,August,47.50,38,20%
15-08-2022,August,47.50,38,20%
16-08-2022,August,50.31,38,24%
17-08-2022,August,50.31,39,22%
18-08-2022,August,51.30,38,26%
19-08-2022,August,51.30,38,26%
20-08-2022,August,50.32,38.75,23%
21-08-2022,August,50.32,38.75,23%
22-08-2022,August,50.32,38.75,23%
23-08-2022,August,50.65,39,23%
24-08-2022,August,51.95,39,25%
25-08-2022,August,50.02,38.52,23%
26-08-2022,August,49.07,37.78,23%
27-08-2022,August,51.20,38,26%
28-08-2022,August,52.66,38,28%
29-08-2022,August,50.91,38,25%
30-08-2022,August,50.91,38,25%
31-08-2022,August,51.42,39,24%
01-09-2022,September,51.42,39,24%
02-09-2022,September,49.01,37.74,23%
03-09-2022,September,49.12,37.82,23%
04-09-2022,September,49.38,38.02,23%
05-09-2022,September,49.38,38.02,23%
06-09-2022,September,49.05,37.77,23%
07-09-2022,September,48.48,37.33,23%
08-09-2022,September,48.48,37.33,23%
09-09-2022,September,48.48,37.33,23%
10-09-2022,September,48.48,37.33,23%
11-09-2022,September,48,36.96,23%
12-09-2022,September,48,36.96,23%
13-09-2022,September,49.52,38,23%
14-09-2022,September,49.35,38,23%
15-09-2022,September,49.35,38,23%
16-09-2022,September,50.65,39,23%
17-09-2022,September,51.95,39,25%
18-09-2022,September,51.95,39,25%
19-09-2022,September,51.95,39,25%
20-09-2022,September,51.95,40,23%
21-09-2022,September,51.95,40,23%
22-09-2022,September,51.95,40,23%
23-09-2022,September,50.65,39,23%
24-09-2022,September,50.65,39,23%
25-09-2022,September,50.65,39,23%
26-09-2022,September,51.95,39,25%
27-09-2022,September,50.65,39,23%
28-09-2022,September,50.65,39,23%
29-09-2022,September,50.65,39,23%
30-09-2022,September,48.05,37,23%
01-10-2022,October,50,38,24%
02-10-2022,October,50,38,24%
03-10-2022,October,47.40,36.50,23%
04-10-2022,October,47.40,36.50,23%
05-10-2022,October,47.64,36.68,23%
06-10-2022,October,47.64,36,24%
07-10-2022,October,49.25,37.92,23%
08-10-2022,October,50,38.50,23%
09-10-2022,October,51.95,39,25%
10-10-2022,October,51.95,39,25%
11-10-2022,October,51.95,39,25%
